Content: Content Name,Active,Content Introduction Text,Content Conclusion Text,Shareable Direct Link
September 2025 Major Release Party,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kA1
Welcome to the Fall Product Release Party 2025,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kBd
Summer 2025 Product Survey Results,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kDF
R&D Introduction,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kEr
R&D: Lead Capture with AI Enrichment (Smart Capture),1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kGT
Forms for Sessions,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kI5
Add Sessions to Calendar from Confirmation Page,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kJh
Streamlined Reporting for Form Submissions,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kLJ
Swift Mode | Continuous Scan Mode | Add to Apple Wallet,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kMv
R&D: Advanced Badge Printing,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kOX
Advanced Visibility: Contact-Based Rule Calculation,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kQ9
Lead Capture with AI Enrichment for Advancement Cont'd,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kRl
R&D Introduction,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002kl7
June 2025 Major Release Party,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002vtR
Feature 1: Associate Single Events with Multiple Event Groups,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002vv3
Feature 2: Split Payment Across Two Accounts,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002vwf
Feature 3: Required Sessions,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002vyH
Feature 4: Builder + Dynamic UI Improvements,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002vzt
Feature 5: Event Navigator Mobile Attendee App,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002w1V
Feature 6: Reusable Payment Methods for Mobile Payments,1,,,https://community.blackthorn.io/s/continued-learning?content=aA5UX0000002w37
